year,report_code,report_name,period_order,revenue_growth_pct,operating_margin_pct,net_margin_pct,current_ratio_pct,debt_to_equity_pct,equity_ratio_pct,roa_pct,roe_pct,cfo_conversion_pct,dso_days
2020,11013,1분기보고서,1,,0.34272696887349985,36.82272086453932,314.13391873921955,29.915746852725515,76.97296318772007,,,30.891597180260277,
2020,11012,반기보고서,2,,8.581988075834222,8.255875519419872,288.1425435658007,32.64301136573231,75.39032699150144,,,212.0400527714347,
2020,11014,3분기보고서,3,,4.741022173260596,6.704799175439715,335.7952681410504,28.957783985483665,77.54475682620031,,,83.1790768274764,
2020,11011,사업보고서,4,,5.201364464061518,11.754183326328157,312.8194300987411,29.62465513954045,77.14581758566716,,,15.141783367546289,
2021,11013,1분기보고서,1,20.99041083715812,3.667475461558282,5.306722110427244,270.5788722195532,34.9538036344825,74.0994305509509,0.8443533040336454,1.1189725127978856,658.406258018479,362.3269584267432
2021,11012,반기보고서,2,4.296557510673466,5.406243929900546,7.666285520274481,315.2978451986917,30.024660706765964,76.90848755646581,1.372917686581811,1.8026537969683942,180.97520696064166,338.3720687507561
2021,11014,3분기보고서,3,5.07040243129323,1.4432358241257253,6.66013714535318,312.47329837182156,28.673319628547834,77.7161887862056,1.239078735828231,1.5961013663092334,195.18424293206152,350.8029034824933
2021,11011,사업보고서,4,4.194485489429122,2.879240620412587,5.8730934886982435,283.3692526460937,27.270297700818645,78.57292848884157,4.081526194980533,5.241481935461844,99.87267858188318,97.72613083479969
2022,11013,1분기보고서,1,8.394832719654007,1.4851921796677694,3.9111630271183415,282.85100089297794,29.791241413038538,77.04680139530142,0.643653345601694,0.8517990245878965,220.39594591007773,386.39739311600476
2022,11012,반기보고서,2,11.449519635062513,3.5068792700379867,6.818184267571947,299.0185201431777,27.039427693799194,78.7157198480366,1.3399766286966597,1.7220591334518316,325.3943231018358,348.39758497467477
2022,11014,3분기보고서,3,-4.414331510408484,-1.0514817533619512,1.283726196205354,294.9217855298249,24.70353440384681,80.19018905763687,0.22725719722904622,0.2878756365981943,1294.1455213145855,396.4197170951635
2022,11011,사업보고서,4,5.216025999809833,2.0288329103018605,5.101370168420448,273.84223294333765,23.155704144482947,81.19802545457635,3.670284386611194,4.594296246282102,109.86443982568261,98.42878970636427
2023,11013,1분기보고서,1,7.8360232710508555,5.107803175672008,5.028398878829783,270.23888460781006,24.769192716000738,80.14798991896959,0.8963334543475827,1.1403714239247975,192.07676971398053,394.7025329279315
2023,11012,반기보고서,2,2.6439892796481037,5.506315018355795,1.734189956597218,269.8554090480807,26.302784683506736,79.17481807751346,0.34635723677556174,0.43871866798430514,658.2787374328216,381.9687177226887
2023,11014,3분기보고서,3,11.939912127393777,0.18284457798572368,3.9364008661347767,232.47108171536433,31.27489237937559,76.1760289324837,0.7479151664077295,0.9578305089065234,449.4530240794771,395.0931068387309
2023,11011,사업보고서,4,4.681530537338538,3.053270087318994,7.209934822027772,215.445087094317,33.89288740785266,74.68656620675364,5.070422677883409,6.522946588557812,107.53299304674744,103.63660563295191
2024,11013,1분기보고서,1,0.3488650593143925,0.12981224445494066,2.4318156156768747,221.42019997025528,34.11665901484669,74.56195280627294,0.4086729298622667,0.529433529617132,80.25895104743117,422.73813713872653
2024,11012,반기보고서,2,6.5742179338894005,3.5097380062533974,6.04042086124421,203.64321154162127,36.43144548613593,73.29688521856343,1.1838115719650406,1.5570586574120293,40.35919531212037,396.73987643789616
2024,11014,3분기보고서,3,23.955747832091884,7.945753825100351,5.935666080862865,229.55919375729303,34.54393629403564,74.32516303184228,1.2708588336054352,1.6897945928082196,3.001712727630879,374.9971548890707
2024,11011,사업보고서,4,11.23235698549169,2.6540548641785815,2.6677475228722876,219.70297078064993,36.796850385676116,73.10109824755945,1.9166890677124584,2.594460577848873,98.98144488845668,103.09547354140864
2025,11013,1분기보고서,1,10.56482700834174,1.3059687296381348,2.036080445893213,205.71508402318926,40.92615230611394,70.95915013899206,0.34560980889544923,0.4753809416455143,49.13422039981211,419.86079482823476
2025,11012,반기보고서,2,9.591800193899052,8.611767485161739,7.59968047532668,225.4783099401438,37.22244189859984,72.87437726395711,1.4853458255987562,2.0324882835544256,49.25893303855762,395.78196394171374
2025,11014,3분기보고서,3,-4.804951811941171,3.8619814667543695,3.713913466175122,214.4686785388647,37.722811737847806,72.60961255303711,0.7081701128091532,0.9641640389567635,465.42779759540053,424.0400307392832
2025,11011,사업보고서,4,5.747491334169194,4.773287282454662,8.475066820545326,206.06954398665138,36.347931756142486,73.34177989501846,6.013946396708671,8.212757424356871,57.321374165543084,108.79786535492231
2026,11013,1분기보고서,1,7.164050022679058,1.6734112213126984,4.435895221047973,203.08235046684948,40.026102851270345,71.41525612993433,0.7456603728470186,1.047310787025563,158.98775792345793,426.1177320205613
2026,11012,반기보고서,2,10.443184227654632,10.457261344950325,10.641061274031163,226.75670174970247,34.77478397887463,74.19785589541333,2.13665334738589,2.904388276723198,119.20150889796999,379.36232509620714
